Software Name,Version,Vendor,Timestamp
Android Studio,2024.2,Google LLC,2025-05-12 14:08:18.644372
Adobe AIR,1.0.8.4990,Adobe Systems Inc.,2025-05-12 14:08:18.644372
Adobe AIR,1.0.4990,Adobe Systems Inc.,2025-05-12 14:08:18.644372
Google Chrome,135.0.7049.115,Google LLC,2025-05-12 14:08:18.644372
Microsoft Edge,136.0.3240.64,Microsoft Corporation,2025-05-12 14:08:18.644372
Microsoft Edge WebView2 Runtime,136.0.3240.64,Microsoft Corporation,2025-05-12 14:08:18.644372
Nmap 7.95,7.95,Nmap Project,2025-05-12 14:08:18.644372
Npcap,1.80,Nmap Project,2025-05-12 14:08:18.644372
Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.38.33135,14.38.33135,Microsoft Corporation,2025-05-12 14:08:18.644372
MySQL Workbench 8.0 CE,8.0.41,Oracle Corporation,2025-05-12 14:08:18.644372
Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.38.33135,14.38.33135.0,Microsoft Corporation,2025-05-12 14:08:18.644372
MySQL Examples and Samples,8.0.41,Oracle Corporation,2025-05-12 14:08:18.644372
Microsoft Visual C++ 2015-2019 Redistributable (x64) - 14.29.30156,14.29.30156.0,Microsoft Corporation,2025-05-12 14:08:18.644372
Microsoft Visual C++ 2022 X86 Additional Runtime - 14.38.33135,14.38.33135,Microsoft Corporation,2025-05-12 14:08:18.644372
Adobe Reader 9,9.0.0,Adobe Systems Incorporated,2025-05-12 14:08:18.644372
MySQL Installer,1.6.14.0,Oracle Corporation,2025-05-12 14:08:18.644372
Node.js,22.14.0,Node.js Foundation,2025-05-12 14:08:18.644372
Microsoft Visual C++ 2019 X64 Additional Runtime - 14.29.30156,14.29.30156,Microsoft Corporation,2025-05-12 14:08:18.644372
Git,2.48.1,The Git Development Community,2025-05-12 14:08:18.644372
Microsoft Visual C++ 2019 X64 Minimum Runtime - 14.29.30156,14.29.30156,Microsoft Corporation,2025-05-12 14:08:18.644372
Microsoft OneDrive,25.065.0406.0002,Microsoft Corporation,2025-05-12 14:08:18.644372
Microsoft Project - en-us,16.0.18623.20208,Microsoft Corporation,2025-05-12 14:08:18.644372
Microsoft Office Professional Plus 2019 - en-us,16.0.18623.20208,Microsoft Corporation,2025-05-12 14:08:18.644372
Microsoft Visio - en-us,16.0.18623.20208,Microsoft Corporation,2025-05-12 14:08:18.644372
WinRAR 7.00 (64-bit),7.00.0,win.rar GmbH,2025-05-12 14:08:18.644372
MySQL Shell,8.0.41,Oracle Corporation,2025-05-12 14:08:18.644372
MySQL Router 8.0,8.0.41,Oracle Corporation,2025-05-12 14:08:18.644372
MySQL Server 8.0,8.0.41,Oracle Corporation,2025-05-12 14:08:18.644372
Java(TM) SE Development Kit 23.0.2 (64-bit),23.0.2.0,Oracle Corporation,2025-05-12 14:08:18.644372
Office 16 Click-to-Run Licensing Component,16.0.18623.20208,Microsoft Corporation,2025-05-12 14:08:18.644372
Office 16 Click-to-Run Extensibility Component,16.0.18623.20156,Microsoft Corporation,2025-05-12 14:08:18.644372
Office 16 Click-to-Run Localization Component,16.0.13328.20408,Microsoft Corporation,2025-05-12 14:08:18.644372
Microsoft Teams Meeting Add-in for Microsoft Office,1.24.28402,Microsoft,2025-05-12 14:08:18.644372
Microsoft Update Health Tools,5.72.0.0,Microsoft Corporation,2025-05-12 14:08:18.644372
MySQL Documents,8.0.41,Oracle Corporation,2025-05-12 14:08:18.644372
