PID,Process Name,User,Timestamp
17272,BridgeCommunication.exe,DESKTOP-HSKLARD\hp,2025-05-12 14:08:16.204587
17252,conhost.exe,DESKTOP-HSKLARD\hp,2025-05-12 14:08:16.204587
16644,bash.exe,DESKTOP-HSKLARD\hp,2025-05-12 14:08:16.203406
16608,bash.exe,DESKTOP-HSKLARD\hp,2025-05-12 14:08:16.203406
16452,svchost.exe,,2025-05-12 14:08:16.203406
15512,conhost.exe,DESKTOP-HSKLARD\hp,2025-05-12 14:08:16.195148
14004,svchost.exe,,2025-05-12 14:08:16.195148
14408,bash.exe,DESKTOP-HSKLARD\hp,2025-05-12 14:08:16.195148
14432,bash.exe,DESKTOP-HSKLARD\hp,2025-05-12 14:08:16.195148
15004,bash.exe,DESKTOP-HSKLARD\hp,2025-05-12 14:08:16.195148
14036,conhost.exe,DESKTOP-HSKLARD\hp,2025-05-12 14:08:16.195148
15664,Code.exe,DESKTOP-HSKLARD\hp,2025-05-12 14:08:16.195148
15696,MoNotificationUx.exe,DESKTOP-HSKLARD\hp,2025-05-12 14:08:16.195148
15848,WidgetService.exe,DESKTOP-HSKLARD\hp,2025-05-12 14:08:16.195148
15940,svchost.exe,DESKTOP-HSKLARD\hp,2025-05-12 14:08:16.195148
15684,conhost.exe,DESKTOP-HSKLARD\hp,2025-05-12 14:08:16.195148
13844,powershell.exe,DESKTOP-HSKLARD\hp,2025-05-12 14:08:16.194073
13724,RuntimeBroker.exe,DESKTOP-HSKLARD\hp,2025-05-12 14:08:16.194073
13452,dllhost.exe,DESKTOP-HSKLARD\hp,2025-05-12 14:08:16.194073
13092,TranslucentTB.exe,DESKTOP-HSKLARD\hp,2025-05-12 14:08:16.193008
12916,msedgewebview2.exe,DESKTOP-HSKLARD\hp,2025-05-12 14:08:16.193008
13076,Code.exe,DESKTOP-HSKLARD\hp,2025-05-12 14:08:16.193008
13384,chrome.exe,DESKTOP-HSKLARD\hp,2025-05-12 14:08:16.193008
13104,msedgewebview2.exe,DESKTOP-HSKLARD\hp,2025-05-12 14:08:16.193008
12616,powershell.exe,DESKTOP-HSKLARD\hp,2025-05-12 14:08:16.189028
12016,svchost.exe,,2025-05-12 14:08:16.189028
12232,msedge.exe,DESKTOP-HSKLARD\hp,2025-05-12 14:08:16.189028
12352,ms-teams.exe,DESKTOP-HSKLARD\hp,2025-05-12 14:08:16.189028
12376,chrome.exe,DESKTOP-HSKLARD\hp,2025-05-12 14:08:16.189028
12588,RuntimeBroker.exe,DESKTOP-HSKLARD\hp,2025-05-12 14:08:16.189028
12868,msedgewebview2.exe,DESKTOP-HSKLARD\hp,2025-05-12 14:08:16.189028
12664,Code.exe,DESKTOP-HSKLARD\hp,2025-05-12 14:08:16.189028
12700,msedgewebview2.exe,DESKTOP-HSKLARD\hp,2025-05-12 14:08:16.189028
12876,msedgewebview2.exe,DESKTOP-HSKLARD\hp,2025-05-12 14:08:16.189028
12676,msedgewebview2.exe,DESKTOP-HSKLARD\hp,2025-05-12 14:08:16.189028
11860,msedge.exe,DESKTOP-HSKLARD\hp,2025-05-12 14:08:16.175939
11532,SecurityHealthService.exe,,2025-05-12 14:08:16.175939
11816,SearchIndexer.exe,,2025-05-12 14:08:16.175939
11604,RtkAudUService64.exe,DESKTOP-HSKLARD\hp,2025-05-12 14:08:16.175939
11872,msedge.exe,DESKTOP-HSKLARD\hp,2025-05-12 14:08:16.175939
