Service Name,Short Name,Status,Timestamp
AMD Crash Defender Service,AMD Crash Defender Service,Running,2025-05-12 14:08:18
State Repository Service,StateRepository,Running,2025-05-12 14:08:18
SSDP Discovery,SSDPSRV,Running,2025-05-12 14:08:18
Print Spooler,Spooler,Running,2025-05-12 14:08:18
Microsoft Storage Spaces SMP,smphost,Running,2025-05-12 14:08:18
Shell Hardware Detection,ShellHWDetection,Running,2025-05-12 14:08:18
System Event Notification Service,SENS,Running,2025-05-12 14:08:18
Windows Security Service,SecurityHealthService,Running,2025-05-12 14:08:18
Sound Research SECOMN Service,SECOMNService,Running,2025-05-12 14:08:18
Task Scheduler,Schedule,Running,2025-05-12 14:08:18
Security Accounts Manager,SamSs,Running,2025-05-12 14:08:18
Realtek Bluetooth Device Manager Service,RtkBtManServ,Running,2025-05-12 14:08:18
Realtek Audio Universal Service,RtkAudioUniversalService,Running,2025-05-12 14:08:18
Remote Procedure Call (RPC),RpcSs,Running,2025-05-12 14:08:18
RPC Endpoint Mapper,RpcEptMapper,Running,2025-05-12 14:08:18
Radio Management Service,RmSvc,Running,2025-05-12 14:08:18
Remote Access Connection Manager,RasMan,Running,2025-05-12 14:08:18
User Profile Service,ProfSvc,Running,2025-05-12 14:08:18
Power,Power,Running,2025-05-12 14:08:18
IPsec Policy Agent,PolicyAgent,Running,2025-05-12 14:08:18
Plug and Play,PlugPlay,Running,2025-05-12 14:08:18
Phone Service,PhoneSvc,Running,2025-05-12 14:08:18
Program Compatibility Assistant Service,PcaSvc,Running,2025-05-12 14:08:18
OneSyncSvc_8c11f,OneSyncSvc_8c11f,Running,2025-05-12 14:08:18
Network Store Interface Service,nsi,Running,2025-05-12 14:08:18
NPSMSvc_8c11f,NPSMSvc_8c11f,Running,2025-05-12 14:08:18
Network Setup Service,NetSetupSvc,Running,2025-05-12 14:08:18
Secure Socket Tunneling Protocol Service,SstpSvc,Running,2025-05-12 14:08:18
Windows Image Acquisition (WIA),StiSvc,Running,2025-05-12 14:08:18
AMD External Events Utility,AMD External Events Utility,Running,2025-05-12 14:08:18
Storage Service,StorSvc,Running,2025-05-12 14:08:18
Windows Search,WSearch,Running,2025-05-12 14:08:18
Security Center,wscsvc,Running,2025-05-12 14:08:18
