Task Name,Task Path,State,Timestamp
OneDrive Per-Machine Standalone Update Task,\,Ready,2025-05-12 14:08:17
NcsiIdentifyUserProxies,\Microsoft\Windows\Network Connectivity Status Indicator\,Ready,2025-05-12 14:08:17
RequestTrace,\Microsoft\Windows\PerformanceTrace\,Ready,2025-05-12 14:08:17
Device Install Group Policy,\Microsoft\Windows\Plug and Play\,Ready,2025-05-12 14:08:17
Device Install Reboot Required,\Microsoft\Windows\Plug and Play\,Ready,2025-05-12 14:08:17
Sysprep Generalize Drivers,\Microsoft\Windows\Plug and Play\,Ready,2025-05-12 14:08:17
AnalyzeSystem,\Microsoft\Windows\Power Efficiency Diagnostics\,Ready,2025-05-12 14:08:17
EduPrintProv,\Microsoft\Windows\Printing\,Ready,2025-05-12 14:08:17
PrinterCleanupTask,\Microsoft\Windows\Printing\,Ready,2025-05-12 14:08:17
PrintJobCleanupTask,\Microsoft\Windows\Printing\,Disabled,2025-05-12 14:08:17
VerifyWinRE,\Microsoft\Windows\RecoveryEnvironment\,Disabled,2025-05-12 14:08:17
Initialization,\Microsoft\Windows\ReFsDedupSvc\,Ready,2025-05-12 14:08:17
RegIdleBackup,\Microsoft\Windows\Registry\,Ready,2025-05-12 14:08:17
OOBEFodSetup,\Microsoft\Windows\Servicing\,Disabled,2025-05-12 14:08:17
StartComponentCleanup,\Microsoft\Windows\Servicing\,Ready,2025-05-12 14:08:17
Account Cleanup,\Microsoft\Windows\SharedPC\,Disabled,2025-05-12 14:08:17
CreateObjectTask,\Microsoft\Windows\Shell\,Ready,2025-05-12 14:08:17
FamilySafetyMonitor,\Microsoft\Windows\Shell\,Ready,2025-05-12 14:08:17
FamilySafetyRefreshTask,\Microsoft\Windows\Shell\,Ready,2025-05-12 14:08:17
IndexerAutomaticMaintenance,\Microsoft\Windows\Shell\,Ready,2025-05-12 14:08:17
ThemesSyncedImageDownload,\Microsoft\Windows\Shell\,Ready,2025-05-12 14:08:17
WiFiTask,\Microsoft\Windows\NlaSvc\,Ready,2025-05-12 14:08:17
SystemSoundsService,\Microsoft\Windows\Multimedia\,Running,2025-05-12 14:08:17
ScanForUpdatesAsUser,\Microsoft\Windows\InstallService\,Ready,2025-05-12 14:08:17
LPRemove,\Microsoft\Windows\MUI\,Ready,2025-05-12 14:08:17
WakeUpAndScanForUpdates,\Microsoft\Windows\InstallService\,Disabled,2025-05-12 14:08:17
Synchronize Language Settings,\Microsoft\Windows\International\,Ready,2025-05-12 14:08:17
La57Cleanup,\Microsoft\Windows\Kernel\,Ready,2025-05-12 14:08:17
Installation,\Microsoft\Windows\LanguageComponentsInstaller\,Ready,2025-05-12 14:08:17
ReconcileLanguageResources,\Microsoft\Windows\LanguageComponentsInstaller\,Ready,2025-05-12 14:08:17
Notifications,\Microsoft\Windows\Location\,Ready,2025-05-12 14:08:17
WindowsActionDialog,\Microsoft\Windows\Location\,Ready,2025-05-12 14:08:17
WinSAT,\Microsoft\Windows\Maintenance\,Ready,2025-05-12 14:08:17
DetectHardwareChange,\Microsoft\Windows\Management\Autopilot\,Disabled,2025-05-12 14:08:17
